d_bar,Set,Parameter,Data dimension,5% rejection rate
3,Set 0,dgp=1,50,0.046
3,Set 0,dgp=1,100,0.045
3,Set 0,dgp=1,500,0.047
3,Set 0,dgp=1,1000,0.052
3,Set 0,dgp=2,50,0.037
3,Set 0,dgp=2,100,0.047
3,Set 0,dgp=2,500,0.046
3,Set 0,dgp=2,1000,0.042
3,Set 0,dgp=3,50,0.053
3,Set 0,dgp=3,100,0.053
3,Set 0,dgp=3,500,0.037
3,Set 0,dgp=3,1000,0.057
3,Set 0,dgp=4,50,0.051
3,Set 0,dgp=4,100,0.047
3,Set 0,dgp=4,500,0.052
3,Set 0,dgp=4,1000,0.064
3,Set 1,"\mu=0.05, \sigma^2=0.5",50,0.711
3,Set 1,"\mu=0.05, \sigma^2=0.5",100,0.96
3,Set 1,"\mu=0.05, \sigma^2=0.5",500,1.0
3,Set 1,"\mu=0.05, \sigma^2=0.5",1000,1.0
3,Set 1,"\mu=0.1, \sigma^2=1.3",50,0.532
3,Set 1,"\mu=0.1, \sigma^2=1.3",100,0.869
3,Set 1,"\mu=0.1, \sigma^2=1.3",500,1.0
3,Set 1,"\mu=0.1, \sigma^2=1.3",1000,1.0
3,Set 1,"\mu=-0.05, \sigma^2=0.6",50,0.541
3,Set 1,"\mu=-0.05, \sigma^2=0.6",100,0.868
3,Set 1,"\mu=-0.05, \sigma^2=0.6",500,1.0
3,Set 1,"\mu=-0.05, \sigma^2=0.6",1000,1.0
3,Set 2,df=3,50,0.948
3,Set 2,df=3,100,1.0
3,Set 2,df=3,500,1.0
3,Set 2,df=3,1000,1.0
3,Set 2,df=5,50,0.398
3,Set 2,df=5,100,0.768
3,Set 2,df=5,500,1.0
3,Set 2,df=5,1000,1.0
3,Set 2,df=10,50,0.1
3,Set 2,df=10,100,0.125
3,Set 2,df=10,500,0.702
3,Set 2,df=10,1000,0.962
3,Set 3,"\mu=-0.05, \sigma^2=0.85",50,0.393
3,Set 3,"\mu=-0.05, \sigma^2=0.85",100,0.623
3,Set 3,"\mu=-0.05, \sigma^2=0.85",500,0.979
3,Set 3,"\mu=-0.05, \sigma^2=0.85",1000,0.99
3,Set 3,"\mu=0.0, \sigma^2=1.1",50,0.979
3,Set 3,"\mu=0.0, \sigma^2=1.1",100,1.0
3,Set 3,"\mu=0.0, \sigma^2=1.1",500,1.0
3,Set 3,"\mu=0.0, \sigma^2=1.1",1000,1.0
3,Set 3,"\mu=0.05, \sigma^2=1.05",50,0.771
3,Set 3,"\mu=0.05, \sigma^2=1.05",100,0.974
3,Set 3,"\mu=0.05, \sigma^2=1.05",500,1.0
3,Set 3,"\mu=0.05, \sigma^2=1.05",1000,1.0
3,Set 4,\sigma^2=0.6,50,0.562
3,Set 4,\sigma^2=0.6,100,0.879
3,Set 4,\sigma^2=0.6,500,1.0
3,Set 4,\sigma^2=0.6,1000,1.0
3,Set 4,\sigma^2=0.8,50,0.162
3,Set 4,\sigma^2=0.8,100,0.344
3,Set 4,\sigma^2=0.8,500,0.972
3,Set 4,\sigma^2=0.8,1000,0.999
3,Set 4,\sigma^2=1.3,50,0.558
3,Set 4,\sigma^2=1.3,100,0.89
3,Set 4,\sigma^2=1.3,500,1.0
3,Set 4,\sigma^2=1.3,1000,1.0
3,Set 5,\mu=-1.0,50,1.0
3,Set 5,\mu=-1.0,100,1.0
3,Set 5,\mu=-1.0,500,1.0
3,Set 5,\mu=-1.0,1000,1.0
3,Set 5,\mu=0.6,50,0.759
3,Set 5,\mu=0.6,100,0.929
3,Set 5,\mu=0.6,500,1.0
3,Set 5,\mu=0.6,1000,1.0
3,Set 5,\mu=1.3,50,1.0
3,Set 5,\mu=1.3,100,1.0
3,Set 5,\mu=1.3,500,1.0
3,Set 5,\mu=1.3,1000,1.0
5,Set 0,dgp=1,50,0.059
5,Set 0,dgp=1,100,0.054
5,Set 0,dgp=1,500,0.048
5,Set 0,dgp=1,1000,0.036
5,Set 0,dgp=2,50,0.05
5,Set 0,dgp=2,100,0.054
5,Set 0,dgp=2,500,0.052
5,Set 0,dgp=2,1000,0.051
5,Set 0,dgp=3,50,0.05
5,Set 0,dgp=3,100,0.053
5,Set 0,dgp=3,500,0.042
5,Set 0,dgp=3,1000,0.06
5,Set 0,dgp=4,50,0.057
5,Set 0,dgp=4,100,0.041
5,Set 0,dgp=4,500,0.051
5,Set 0,dgp=4,1000,0.057
5,Set 1,"\mu=0.05, \sigma^2=0.5",50,0.721
5,Set 1,"\mu=0.05, \sigma^2=0.5",100,0.952
5,Set 1,"\mu=0.05, \sigma^2=0.5",500,1.0
5,Set 1,"\mu=0.05, \sigma^2=0.5",1000,1.0
5,Set 1,"\mu=0.1, \sigma^2=1.3",50,0.519
5,Set 1,"\mu=0.1, \sigma^2=1.3",100,0.859
5,Set 1,"\mu=0.1, \sigma^2=1.3",500,1.0
