method,set,parameter,d,n,m,repeats,time_mean_sec,time_std_sec
single_kernel_truncate_pivotal,Set1,"(0.05, 0.5)",50,100,100,1,0.001698534000752261,0.0
single_kernel_truncate_pivotal,Set1,"(0.05, 0.5)",100,100,100,1,0.0014563260001523304,0.0
single_kernel_truncate_pivotal,Set1,"(0.05, 0.5)",500,100,100,1,0.003811087000030966,0.0
single_kernel_truncate_pivotal,Set1,"(0.05, 0.5)",1000,100,100,1,0.006963773999814293,0.0
single_kernel_truncate_pivotal,Set1,"(0.1, 1.3)",50,100,100,1,0.001173253000160912,0.0
single_kernel_truncate_pivotal,Set1,"(0.1, 1.3)",100,100,100,1,0.0013670079997609719,0.0
single_kernel_truncate_pivotal,Set1,"(0.1, 1.3)",500,100,100,1,0.003763247999813757,0.0
single_kernel_truncate_pivotal,Set1,"(0.1, 1.3)",1000,100,100,1,0.00672583499999746,0.0
single_kernel_truncate_pivotal,Set1,"(-0.05, 0.6)",50,100,100,1,0.0011434670004746295,0.0
single_kernel_truncate_pivotal,Set1,"(-0.05, 0.6)",100,100,100,1,0.0014029350004420849,0.0
single_kernel_truncate_pivotal,Set1,"(-0.05, 0.6)",500,100,100,1,0.003870460000143794,0.0
single_kernel_truncate_pivotal,Set1,"(-0.05, 0.6)",1000,100,100,1,0.006797830000323302,0.0
single_kernel_truncate_pivotal,Set2,3,50,100,100,1,0.001165608000519569,0.0
single_kernel_truncate_pivotal,Set2,3,100,100,100,1,0.0013846519996150164,0.0
single_kernel_truncate_pivotal,Set2,3,500,100,100,1,0.003764709999813931,0.0
single_kernel_truncate_pivotal,Set2,3,1000,100,100,1,0.00661016699996253,0.0
single_kernel_truncate_pivotal,Set2,5,50,100,100,1,0.0011354010002833093,0.0
single_kernel_truncate_pivotal,Set2,5,100,100,100,1,0.0013828479995936505,0.0
single_kernel_truncate_pivotal,Set2,5,500,100,100,1,0.0037745179997727973,0.0
single_kernel_truncate_pivotal,Set2,5,1000,100,100,1,0.00670065699978295,0.0
single_kernel_truncate_pivotal,Set2,10,50,100,100,1,0.0011715989994627307,0.0
single_kernel_truncate_pivotal,Set2,10,100,100,100,1,0.001384942000186129,0.0
single_kernel_truncate_pivotal,Set2,10,500,100,100,1,0.003738389999853098,0.0
single_kernel_truncate_pivotal,Set2,10,1000,100,100,1,0.00669679000020551,0.0
single_kernel_truncate_pivotal,Set3,"(-0.05, 0.85)",50,100,100,1,0.0011644959995464887,0.0
single_kernel_truncate_pivotal,Set3,"(-0.05, 0.85)",100,100,100,1,0.0013715069999307161,0.0
single_kernel_truncate_pivotal,Set3,"(-0.05, 0.85)",500,100,100,1,0.003853698000057193,0.0
single_kernel_truncate_pivotal,Set3,"(-0.05, 0.85)",1000,100,100,1,0.007502389999899606,0.0
single_kernel_truncate_pivotal,Set3,"(0.0, 1.1)",50,100,100,1,0.001168734999737353,0.0
single_kernel_truncate_pivotal,Set3,"(0.0, 1.1)",100,100,100,1,0.0014170330005072174,0.0
single_kernel_truncate_pivotal,Set3,"(0.0, 1.1)",500,100,100,1,0.003830904999631457,0.0
single_kernel_truncate_pivotal,Set3,"(0.0, 1.1)",1000,100,100,1,0.00732170799983578,0.0
single_kernel_truncate_pivotal,Set3,"(0.05, 1.05)",50,100,100,1,0.0012628020003830898,0.0
single_kernel_truncate_pivotal,Set3,"(0.05, 1.05)",100,100,100,1,0.0014667060004285304,0.0
single_kernel_truncate_pivotal,Set3,"(0.05, 1.05)",500,100,100,1,0.003823972000645881,0.0
single_kernel_truncate_pivotal,Set3,"(0.05, 1.05)",1000,100,100,1,0.0072960400002557435,0.0
learn_multipicity_pivotal,Set1,"(0.05, 0.5)",50,200,200,1,0.0070747529998698155,0.0
learn_multipicity_pivotal,Set1,"(0.05, 0.5)",100,200,200,1,0.005866393999895081,0.0
learn_multipicity_pivotal,Set1,"(0.05, 0.5)",500,200,200,1,0.01369607999913569,0.0
learn_multipicity_pivotal,Set1,"(0.05, 0.5)",1000,200,200,1,0.02289319500050624,0.0
learn_multipicity_pivotal,Set1,"(0.1, 1.3)",50,200,200,1,0.006076098999983515,0.0
learn_multipicity_pivotal,Set1,"(0.1, 1.3)",100,200,200,1,0.006897608000144828,0.0
learn_multipicity_pivotal,Set1,"(0.1, 1.3)",500,200,200,1,0.012806642999748874,0.0
learn_multipicity_pivotal,Set1,"(0.1, 1.3)",1000,200,200,1,0.02182775599976594,0.0
learn_multipicity_pivotal,Set1,"(-0.05, 0.6)",50,200,200,1,0.0056953809998958604,0.0
learn_multipicity_pivotal,Set1,"(-0.05, 0.6)",100,200,200,1,0.005694469999980356,0.0
learn_multipicity_pivotal,Set1,"(-0.05, 0.6)",500,200,200,1,0.013105426000038278,0.0
learn_multipicity_pivotal,Set1,"(-0.05, 0.6)",1000,200,200,1,0.022003917999427358,0.0
