method,set,n,m,n_cases,avg_time_per_case_sec,median_time_per_case_sec,total_time_sec
BMMD,Set1,100,100,12,0.0017907538333474804,0.0013797870001326373,0.021489046000169765
LinearTimeMMD,Set1,100,100,12,0.002842501666767324,0.0021441590001813893,0.034110020001207886
single_kernel_truncate_pivotal,Set1,100,100,12,0.0033478130834888966,0.002730891000283009,0.04017375700186676
xMMD,Set1,100,100,12,0.0034957253333232075,0.002632815499964636,0.04194870399987849
MartingaleMMD,Set1,100,100,12,0.004633561333245477,0.00346679350013801,0.05560273599894572
learn_multipicity_pivotal,Set1,200,200,12,0.011969810249865986,0.009940697999809345,0.14363772299839184
spectrum_mmd,Set1,100,100,12,0.012193035583171271,0.01124187199957305,0.14631642699805525
MahalanobisMMD,Set1,100,100,12,0.019531467083349224,0.01552349650000906,0.23437760500019067
MMDAggInc,Set1,100,100,12,0.03853053000004062,0.030987461000222538,0.4623663600004875
mmd_permu,Set1,100,100,12,0.04427487841659664,0.04350328499958778,0.5312985409991597
mmd_oracle,Set1,200,200,12,0.11121869691676996,0.09253754600058528,1.3346243630012395
MMDAgg,Set1,100,100,12,0.2175453124998512,0.21519148049947034,2.6105437499982145
MMDFUSE,Set1,100,100,12,0.3151722092500222,0.3140552819995719,3.7820665110002665
SpectralReguMMD,Set1,100,100,12,2.507183980833588,2.4796187185002054,30.086207770003057
BMMD,Set2,100,100,12,0.0017339693332208601,0.001337036499990063,0.020807631998650322
LinearTimeMMD,Set2,100,100,12,0.003000732666653979,0.002269730999614694,0.036008791999847745
single_kernel_truncate_pivotal,Set2,100,100,12,0.003242523499920935,0.0025616660000196134,0.03891028199905122
xMMD,Set2,100,100,12,0.00338748024993644,0.0025394489998689096,0.04064976299923728
MartingaleMMD,Set2,100,100,12,0.004591213666647794,0.0034273590003977006,0.05509456399977353
learn_multipicity_pivotal,Set2,200,200,12,0.011422360250132138,0.009349883499453426,0.13706832300158567
spectrum_mmd,Set2,100,100,12,0.012058595249754944,0.011017899499620398,0.14470314299705933
MahalanobisMMD,Set2,100,100,12,0.01946382025001488,0.015536921999682818,0.23356584300017857
MMDAggInc,Set2,100,100,12,0.037045981000119355,0.02879118400005609,0.44455177200143225
mmd_permu,Set2,100,100,12,0.04434365816655372,0.04354657650037552,0.5321238979986447
mmd_oracle,Set2,200,200,12,0.11168424666667913,0.09567391549990134,1.3402109600001495
MMDAgg,Set2,100,100,12,0.21765552366665966,0.21530341100014994,2.611866283999916
MMDFUSE,Set2,100,100,12,0.31477333541655145,0.3128097279995927,3.7772800249986176
SpectralReguMMD,Set2,100,100,12,2.5071066173335717,2.4778466085003856,30.08527940800286
BMMD,Set3,100,100,12,0.0018924443332556014,0.0014294309999058896,0.022709331999067217
LinearTimeMMD,Set3,100,100,12,0.0029614677501588935,0.0021824659997946583,0.03553761300190672
single_kernel_truncate_pivotal,Set3,100,100,12,0.003456666000071588,0.0026453390005372057,0.041479992000859056
xMMD,Set3,100,100,12,0.003571382833494378,0.0026367575001131627,0.042856594001932535
MartingaleMMD,Set3,100,100,12,0.004756557249947946,0.003444946999934473,0.05707868699937535
learn_multipicity_pivotal,Set3,200,200,12,0.011619928583362102,0.009421273000043584,0.1394391430003452
spectrum_mmd,Set3,100,100,12,0.012234482083385956,0.011106932000075176,0.14681378500063147
MahalanobisMMD,Set3,100,100,12,0.019882345500036536,0.015835730499929923,0.23858814600043843
MMDAggInc,Set3,100,100,12,0.0370135605832426,0.028425233499547176,0.44416272699891124
mmd_permu,Set3,100,100,12,0.04474215966691494,0.04374908799991317,0.5369059160029792
mmd_oracle,Set3,200,200,12,0.11498061008319382,0.09786314050006695,1.3797673209983259
MMDAgg,Set3,100,100,12,0.21858231158330454,0.2158208820001164,2.6229877389996545
MMDFUSE,Set3,100,100,12,0.3164765209166944,0.31371512100031396,3.797718251000333
SpectralReguMMD,Set3,100,100,12,2.520923819749972,2.491164748499614,30.251085836999664
